Timestamp,Open,Close,High,Low,Volume
31/12/2017 23:00:00,13853,13769,13899,13730,1005.3401952
31/12/2017 22:00:00,13920,13853,14018,13751,805.51242366
31/12/2017 21:00:00,14039,13921,14049,13837,1047.08695724
31/12/2017 20:00:00,13858,14036,14210,13838,1815.73679533
31/12/2017 19:00:00,13784,13859,13949,13757,792.80734136
31/12/2017 18:00:00,13863,13784,13960,13664.23981635,1245.94471764
31/12/2017 17:00:00,13954,13862,13995,13682,1953.86275824
31/12/2017 16:00:00,13258,13961,14100,13258,6932.13012424
31/12/2017 15:00:00,13356,13258.43074352,13396,13120,1795.74580941
31/12/2017 14:00:00,13097,13354,13449,13080,2392.82001615
31/12/2017 13:00:00,13024,13098,13200,12873,1794.24505343
31/12/2017 12:00:00,13001.49837196,13019,13328,12751,2767.67687715
31/12/2017 11:00:00,12864,13000,13082,12823,1214.30959814
31/12/2017 10:00:00,12509,12863,12869,12481,1025.00075685
31/12/2017 09:00:00,12536.85898975,12508,12638,12400,1725.34759932
31/12/2017 08:00:00,12862,12536.85898975,12931,12500,1411.09782032
31/12/2017 07:00:00,12549,12859,12862,12525,877.95411359
31/12/2017 06:00:00,12701,12550,12854,12512,1200.53122392
31/12/2017 05:00:00,12895,12699,13048,12677,975.46222676
31/12/2017 04:00:00,12963,12893,13000,12778,1178.90667961
31/12/2017 03:00:00,13237,12963,13399,12915,2495.92937807
31/12/2017 02:00:00,12844,13238,13250,12751,2044.25366448
31/12/2017 01:00:00,12900,12844.21734077,13035,12722,2187.70697286
31/12/2017 00:00:00,12385,12900,12925,12166,2584.84219059
30/12/2017 23:00:00,12687,12384,12764,12353,1719.08368233
30/12/2017 22:00:00,12724,12686,12850,12653,1072.68498338
30/12/2017 21:00:00,12746,12724,12797,12525,1153.29686257
30/12/2017 20:00:00,13008,12746,13014,12550,2064.64066464
30/12/2017 19:00:00,12494,13009,13031,12492,3390.2365134
30/12/2017 18:00:00,12557,12492,12566,12201,2296.46356836
30/12/2017 17:00:00,11874,12558,12591,11861,4136.63157131
30/12/2017 16:00:00,12265,11875,12278,11651,4706.36145687
30/12/2017 15:00:00,12283,12266,12456,12154,2962.8176732
30/12/2017 14:00:00,12354.36496883,12287,12582.48249498,12000,5845.95134721
30/12/2017 13:00:00,12540,12354.36496883,12544,11863,7039.77156806
30/12/2017 12:00:00,13151,12540,13160,12399,4768.76476924
30/12/2017 11:00:00,12909,13155,13249,12814.20187681,1433.07673145
30/12/2017 10:00:00,13187,12910,13240,12837,3090.80740306
30/12/2017 09:00:00,13250,13185,13250,12966.68043376,1819.80806511
30/12/2017 08:00:00,13465,13251,13468,13186,1525.69684157
30/12/2017 07:00:00,13260,13466,13499,13201,2168.99373048
30/12/2017 06:00:00,13233,13253.62826928,13370,13119,1738.34801642
