,Date,Positive,Negative,Count
8,1/9/2017,0.683006536,0.316993464,640
22,2/9/2017,0.638297872,0.361702128,550
36,3/9/2017,0.671717172,0.328282828,437
50,4/9/2017,0.620938628,0.379061372,576
64,5/9/2017,0.551181102,0.448818898,551
78,6/9/2017,0.665289256,0.334710744,541
92,7/9/2017,0.663755459,0.336244541,450
106,8/9/2017,0.585365854,0.414634146,504
120,9/9/2017,0.69047619,0.30952381,374
134,10/9/2017,0.60199005,0.39800995,449
148,11/9/2017,0.573459716,0.426540284,480
162,12/9/2017,0.53125,0.46875,584
176,13/9/2017,0.562105263,0.437894737,886
190,14/9/2017,0.565843621,0.434156379,1077
204,15/9/2017,0.587332054,0.412667946,1134
218,16/9/2017,0.598513011,0.401486989,574
232,17/9/2017,0.652380952,0.347619048,443
246,18/9/2017,0.595070423,0.404929577,607
260,19/9/2017,0.659574468,0.340425532,611
274,20/9/2017,0.573076923,0.426923077,564
288,21/9/2017,0.582142857,0.417857143,554
301,22/9/2017,0.622727273,0.377272727,516
314,23/9/2017,0.649746193,0.350253807,356
327,24/9/2017,0.730769231,0.269230769,306
340,25/9/2017,0.597014925,0.402985075,446
353,26/9/2017,0.639130435,0.360869565,510
366,27/9/2017,0.687022901,0.312977099,580
379,28/9/2017,0.673640167,0.326359833,549
391,29/9/2017,0.56626506,0.43373494,530
403,30/9/2017,0.653409091,0.346590909,407
10,1/10/2017,0.629139073,0.370860927,353
24,2/10/2017,0.673170732,0.326829268,462
38,3/10/2017,0.620853081,0.379146919,475
52,4/10/2017,0.603960396,0.396039604,460
66,5/10/2017,0.637305699,0.362694301,432
80,6/10/2017,0.635869565,0.364130435,410
94,7/10/2017,0.630573248,0.369426752,387
108,8/10/2017,0.651933702,0.348066298,421
122,9/10/2017,0.713207547,0.286792453,597
136,10/10/2017,0.601476015,0.398523985,603
150,11/10/2017,0.675799087,0.324200913,500
164,12/10/2017,0.695214106,0.304785894,970
178,13/10/2017,0.701298701,0.298701299,1009
192,14/10/2017,0.672566372,0.327433628,522
206,15/10/2017,0.711864407,0.288135593,517
220,16/10/2017,0.731060606,0.268939394,574
234,17/10/2017,0.704379562,0.295620438,572
248,18/10/2017,0.626556017,0.373443983,573
262,19/10/2017,0.611721612,0.388278388,579
276,20/10/2017,0.722513089,0.277486911,905
290,21/10/2017,0.656069364,0.343930636,829
303,22/10/2017,0.735177866,0.264822134,595
316,23/10/2017,0.696275072,0.303724928,834
329,24/10/2017,0.572674419,0.427325581,806
342,25/10/2017,0.653495441,0.346504559,737
355,26/10/2017,0.672473868,0.327526132,666
368,27/10/2017,0.592465753,0.407534247,586
381,28/10/2017,0.578651685,0.421348315,430
