OpenTime,OpenPrice,CloseTime,ClosePrice,,PnL
05/09/2017 01:00,3932,06/09/2017 00:00,4437,1.128433367,1
07/09/2017 08:00,4534.4,08/09/2017 00:00,4595.5,1.013474771,1.128433367
09/09/2017 04:00,4264.4,10/09/2017 00:00,4294.4,1.007034987,1.013474771
13/09/2017 02:00,4016.8,14/09/2017 00:00,3902.7,0.971594304,1.007034987
15/09/2017 00:00,3340,16/09/2017 00:00,3728.8,1.116407186,0.971594304
17/09/2017 07:00,3531,18/09/2017 00:00,3736.8,1.058283772,1.116407186
19/09/2017 04:00,3893.8,20/09/2017 00:00,3903.5,1.00249114,1.058283772
22/09/2017 00:00,3644.4,23/09/2017 00:00,3595.9,0.986691911,1.00249114
01/10/2017 14:00,4290.2,02/10/2017 00:00,4433.3,1.033355088,0.986691911
03/10/2017 07:00,4287.1,04/10/2017 00:00,4298.6,1.002682466,1.033355088
05/10/2017 04:00,4163.1,06/10/2017 00:00,4328.8,1.039802071,1.002682466
15/10/2017 13:00,5547.9,16/10/2017 00:00,5708.4,1.028929865,1.039802071
17/10/2017 14:00,5565,18/10/2017 00:00,5520,0.991913747,1.028929865
22/10/2017 05:00,5850,23/10/2017 00:00,5964.4,1.019555556,0.991913747
24/10/2017 01:00,5626.7,25/10/2017 00:00,5493,0.976238292,1.019555556
27/10/2017 15:00,5750.1,28/10/2017 00:00,5830.2,1.013930193,0.976238292
04/11/2017 00:00,7058.4,05/11/2017 00:00,7330,1.038478975,1.013930193
06/11/2017 01:00,7340.6,07/11/2017 00:00,7060.6,0.961855979,1.038478975
09/11/2017 12:00,7155.5,10/11/2017 00:00,7311.5,1.021801412,0.961855979
11/11/2017 15:00,6305.6,12/11/2017 00:00,6190.6,0.981762243,1.021801412
18/11/2017 01:00,7459.9,19/11/2017 00:00,7750,1.038887921,0.981762243
21/11/2017 04:00,7865.2,22/11/2017 00:00,8138,1.034684433,1.038887921
24/11/2017 01:00,7914,25/11/2017 00:00,8185.8,1.0343442,1.034684433
29/11/2017 19:00,9500,30/11/2017 00:00,9900,1.042105263,1.0343442
02/12/2017 15:00,10713,03/12/2017 00:00,10874,1.01502847,1.042105263
08/12/2017 09:00,15098,09/12/2017 00:00,15694,1.039475427,1.01502847
10/12/2017 02:00,13288,11/12/2017 00:00,15285,1.150285972,1.039475427
14/12/2017 03:00,16116,15/12/2017 00:00,16915,1.049578059,1.150285972
16/12/2017 00:00,17542,17/12/2017 00:00,19139,1.09103865,1.049578059
19/12/2017 11:00,17600,20/12/2017 00:00,16807,0.954943182,1.09103865
21/12/2017 15:00,15351,22/12/2017 00:00,14944,0.973487069,0.954943182
24/12/2017 02:00,12820,25/12/2017 00:00,13411,1.046099844,0.973487069
27/12/2017 20:00,14732,28/12/2017 00:00,15148,1.02823785,1.046099844
30/12/2017 02:00,13187,31/12/2017 00:00,12900,0.978236142,1.02823785
01/01/2018 12:00,13144,02/01/2018 00:00,13817,1.051202069,0.978236142
04/01/2018 09:00,14435,05/01/2018 00:00,15006,1.039556633,1.051202069
07/01/2018 14:00,16572,08/01/2018 00:00,15923,0.960837557,1.039556633
