,Timestamp,Open,Close,High,Low,Volume
0,20/10/2018 15:00:00,6590.2,6580.1,6590.9,6580.0,52.90491406
1,20/10/2018 14:00:00,6605.0,6590.2,6606.0,6590.0,105.45874594
2,20/10/2018 13:00:00,6587.0293634,6605.0,6608.5,6587.0293634,305.24524902
3,20/10/2018 12:00:00,6589.6,6587.3,6590.0,6578.0,70.03166756
4,20/10/2018 11:00:00,6575.7,6589.6,6589.6,6575.6,112.84193374
5,20/10/2018 10:00:00,6579.4,6575.6,6583.8,6570.8,121.41174032
6,20/10/2018 09:00:00,6573.4,6579.4,6583.1,6573.4,46.43280495
7,20/10/2018 08:00:00,6580.1,6573.3,6580.1,6570.0,80.33564963
8,20/10/2018 07:00:00,6584.9,6580.0,6590.0,6580.0,427.43859181
9,20/10/2018 06:00:00,6544.36650933,6584.9,6611.0,6544.3,1009.90870985
10,20/10/2018 05:00:00,6544.4,6544.4,6544.4,6542.0,37.90595046
11,20/10/2018 04:00:00,6534.6,6544.4,6544.5,6534.5,68.7703699
12,20/10/2018 03:00:00,6535.6,6534.6,6536.0,6534.0,65.89695421
13,20/10/2018 02:00:00,6542.3,6535.5,6548.4,6533.7,222.28306316
14,20/10/2018 01:00:00,6515.4,6542.3,6542.3,6511.0,423.73846736
15,20/10/2018 00:00:00,6524.3,6515.3,6524.7,6513.0,204.9912254
16,19/10/2018 23:00:00,6536.98698862,6525.1,6539.0,6520.5,202.00760167
17,19/10/2018 22:00:00,6535.7,6537.0,6539.1,6535.0,100.21832081
18,19/10/2018 21:00:00,6526.05537531,6535.8,6538.6,6524.6,91.5312335
19,19/10/2018 20:00:00,6549.0,6526.05537531,6549.8,6518.2,1060.83559556
20,19/10/2018 19:00:00,6566.1,6549.3,6566.1,6545.6,400.28699916
21,19/10/2018 18:00:00,6560.1,6566.0,6567.0,6560.0,110.78035198
22,19/10/2018 17:00:00,6568.4,6560.0,6570.0,6560.0,142.80996626
23,19/10/2018 16:00:00,6564.8,6568.4,6593.2,6550.0,545.32457066
24,19/10/2018 15:00:00,6557.5,6564.83987362,6567.6,6551.4,680.82326533
25,19/10/2018 14:00:00,6577.8,6557.5,6582.7,6556.3,390.80730215
26,19/10/2018 13:00:00,6569.2,6577.8,6589.6,6569.2,343.31013747
27,19/10/2018 12:00:00,6585.6,6569.2,6586.9,6536.1,1033.19052701
28,19/10/2018 11:00:00,6601.0,6585.6,6607.7,6585.0,511.7688197
29,19/10/2018 10:00:00,6590.2,6601.0,6616.1,6590.2,552.54025441
30,19/10/2018 09:00:00,6584.6,6590.2,6603.1,6581.1,374.18333366
31,19/10/2018 08:00:00,6575.0,6584.7,6604.8,6575.0,461.37657461
32,19/10/2018 07:00:00,6587.77303002,6575.041480899999,6592.09246218,6575.0,732.87149307
33,19/10/2018 06:00:00,6581.0,6587.7,6596.5,6565.2,1045.04086323
34,19/10/2018 05:00:00,6626.2,6581.5,6626.3,6580.0,1176.0366396
35,19/10/2018 04:00:00,6613.9,6626.9,6630.0,6613.9,297.39302118
36,19/10/2018 03:00:00,6620.0,6613.99547532,6620.07092246,6610.0,309.21565455
37,19/10/2018 02:00:00,6600.0,6620.07092246,6629.1,6598.7,126.95802966
38,19/10/2018 01:00:00,6630.0,6599.9,6630.1,6592.7,275.07098179
39,19/10/2018 00:00:00,6613.3,6630.0,6639.5,6602.9,274.53512834
40,18/10/2018 23:00:00,6592.1,6613.2,6628.9,6590.0,572.60648289
41,18/10/2018 22:00:00,6585.7,6592.00575132,6608.1,6566.7,549.28160189
42,18/10/2018 21:00:00,6615.8,6585.7,6618.0,6580.0,984.64588308
43,18/10/2018 20:00:00,6638.2,6617.4,6638.2,6615.0,309.40210577
44,18/10/2018 19:00:00,6630.8,6638.1,6639.8,6611.9,318.47199135
45,18/10/2018 18:00:00,6640.0,6630.9,6662.4,6616.7,429.34988135
46,18/10/2018 17:00:00,6706.2,6640.0,6710.5,6609.3,1687.01461402
47,18/10/2018 16:00:00,6700.26405628,6706.2,6710.4,6697.0,369.10662773
48,18/10/2018 15:00:00,6703.0,6700.3,6703.1,6677.0,760.1239813999999
49,18/10/2018 14:00:00,6714.6,6703.0,6714.6,6703.0,175.59217907
50,18/10/2018 13:00:00,6720.0,6714.6,6720.1,6703.0,197.92859092
51,18/10/2018 12:00:00,6715.0,6720.03220536,6720.1,6699.7,764.72793281
52,18/10/2018 11:00:00,6721.5,6715.0,6721.9,6704.9,372.93871455
53,18/10/2018 10:00:00,6715.1291619,6721.5,6728.88241525,6708.8,276.56543025
54,18/10/2018 09:00:00,6712.0,6715.1291619,6716.0,6705.0,403.71794844
55,18/10/2018 08:00:00,6719.97147369,6711.96044783,6723.8,6694.0,637.15165574
56,18/10/2018 07:00:00,6728.7,6719.97147369,6734.8,6717.2,452.64253768
57,18/10/2018 06:00:00,6727.0,6728.77337889,6737.5,6718.5,280.42430488
58,18/10/2018 05:00:00,6740.0,6726.2,6742.9,6714.7,375.0531193
59,18/10/2018 04:00:00,6750.0,6740.0,6754.6,6738.0,521.50729683
60,18/10/2018 03:00:00,6730.36461763,6749.958316399999,6779.9,6729.7,967.46795369
61,18/10/2018 02:00:00,6730.2,6730.3,6734.96374611,6727.0,364.25766551
62,18/10/2018 01:00:00,6734.5,6730.2,6737.6,6725.2,372.21909961
63,18/10/2018 00:00:00,6735.6,6734.94618629,6743.2,6723.0,395.08013033
64,17/10/2018 23:00:00,6733.5,6736.0,6741.6,6723.39154485,55.88452321
65,17/10/2018 22:00:00,6732.3,6733.6,6746.33251482,6730.1,174.73006264
