Timestamp,Open,Close,High,Low,Volume
28/02/2018 23:00:00,10418,10315,10450,10261,3334.90125015
28/02/2018 22:00:00,10506,10418,10562,10410,1420.03680207
28/02/2018 21:00:00,10661,10507,10697,10496,1670.11996925
28/02/2018 20:00:00,10555,10660,10699,10555,2591.6324367
28/02/2018 19:00:00,10470,10556,10556,10470,614.09548672
28/02/2018 18:00:00,10433,10471,10556,10413,1572.41153156
28/02/2018 17:00:00,10410,10434,10501,10406,1139.47807472
28/02/2018 16:00:00,10506,10406,10535,10400,1131.68896184
28/02/2018 15:00:00,10519.92489607,10507,10565,10463,905.13822321
28/02/2018 14:00:00,10459,10519.92489607,10570,10440,1393.00105665
28/02/2018 13:00:00,10410,10460,10511,10380,1394.02796159
28/02/2018 12:00:00,10554,10411,10605,10380,2411.34358478
28/02/2018 11:00:00,10561,10554,10646,10507,1141.43234495
28/02/2018 10:00:00,10598,10562,10631,10489,1408.9963444
28/02/2018 09:00:00,10492,10598,10640,10456,2847.81929441
28/02/2018 08:00:00,10745,10491.08451392,10808,10356,3378.30967922
28/02/2018 07:00:00,10805,10744,10820.37805226,10649.01459894,2336.55395413
28/02/2018 06:00:00,10939,10805,11065,10755,5033.56474431
28/02/2018 05:00:00,10903,10939,10966,10883,698.85875996
28/02/2018 04:00:00,10898,10902,10966,10883,1391.45487506
28/02/2018 03:00:00,10676,10899,10966,10675,3202.400138
28/02/2018 02:00:00,10692,10672,10786,10672,884.60496137
28/02/2018 01:00:00,10655,10691,10725,10624,917.3943569
28/02/2018 00:00:00,10583,10655.91517543,10702,10560,1030.20738375
27/02/2018 23:00:00,10748,10582,10763.93816461,10562,1368.21852995
27/02/2018 22:00:00,10755,10749,10822.90591097,10707,1339.43909796
27/02/2018 21:00:00,10671,10755.61906346,10785,10656,998.09775945
27/02/2018 20:00:00,10690,10670,10730,10612,850.48328792
27/02/2018 19:00:00,10619,10691,10746,10619,1122.44805716
27/02/2018 18:00:00,10564,10642,10646,10564,703.36647014
27/02/2018 17:00:00,10617,10564,10635,10532,869.32979442
27/02/2018 16:00:00,10578,10617,10669,10555,1420.59388986
27/02/2018 15:00:00,10676,10577,10677,10480,3668.20449309
27/02/2018 14:00:00,10874,10674,10887,10631,3021.33503398
27/02/2018 13:00:00,10673,10874,10888,10672,3824.92807891
27/02/2018 12:00:00,10706,10676,10746,10650,1060.14627252
27/02/2018 11:00:00,10635,10706,10741,10620,1343.98854051
27/02/2018 10:00:00,10741,10635,10745,10602,2205.16743551
27/02/2018 09:00:00,10698,10742,10788,10626,2350.06897105
27/02/2018 08:00:00,10617,10699,10764,10617,2997.21129055
27/02/2018 07:00:00,10303,10617,10690,10270,3723.42973929
27/02/2018 06:00:00,10329,10302,10377,10240,860.40405921
27/02/2018 05:00:00,10302,10329,10345,10224,952.51067398
27/02/2018 04:00:00,10275,10301,10400,10253,897.15328482
27/02/2018 03:00:00,10170,10275,10315,10170,869.20667564
27/02/2018 02:00:00,10196,10170,10253,10125,974.97455746
27/02/2018 01:00:00,10369,10198,10389,10162,1167.68638156
27/02/2018 00:00:00,10321,10368,10409,10287,1112.14925535
26/02/2018 23:00:00,10355,10320,10370,10267.00442975,1038.63239781
26/02/2018 22:00:00,10367,10355,10423,10308,1930.89858702
26/02/2018 21:00:00,10274,10369,10439,10250,2549.16463044
26/02/2018 20:00:00,10238,10274,10274,10141,1121.90507935
26/02/2018 19:00:00,10248,10238,10300,10184,1234.83699385
26/02/2018 18:00:00,10194,10249,10250,10164.99650948,1011.84073481
26/02/2018 17:00:00,10185,10195,10209,10101,2705.56470928
26/02/2018 16:00:00,10259,10184,10409,10160,3839.19895629
26/02/2018 15:00:00,10225,10259,10280,10153,1559.25237637
26/02/2018 14:00:00,10120,10228,10352,10120,4490.08922577
26/02/2018 13:00:00,9875.5,10120,10246,9855,8277.9434803
26/02/2018 12:00:00,9731,9876.6,9900,9650,2067.36385352
26/02/2018 11:00:00,9689.3,9732,9750,9649,1634.82407333
26/02/2018 10:00:00,9455.9,9690,9702.63198856,9455.6,1738.79813139
26/02/2018 09:00:00,9433.2,9455.6,9527,9433.2,1001.76164134
26/02/2018 08:00:00,9455,9433.3,9467.3,9359.9,1099.07312987
26/02/2018 07:00:00,9419.9,9456,9480,9397,641.1929442
26/02/2018 06:00:00,9609.1,9419,9631,9385.9,1076.36718154
26/02/2018 05:00:00,9655.3,9609,9671.3,9552,777.00311387
26/02/2018 04:00:00,9601.3,9655.3,9664.5,9560,881.26274307
26/02/2018 03:00:00,9727.5,9601.4,9730,9567,925.33355085
26/02/2018 02:00:00,9710.9,9728,9825,9654,2308.54330308
26/02/2018 01:00:00,9560.5,9710.8,9719,9559.7,1255.94421234
26/02/2018 00:00:00,9579,9558.8,9600,9518.2,792.45658164
25/02/2018 23:00:00,9641,9583,9648,9530,1156.29099417
25/02/2018 22:00:00,9580,9641,9679.16036081,9518.2,1364.1243284
25/02/2018 21:00:00,9558.2,9582,9633.6,9508.8,1037.2481658
25/02/2018 20:00:00,9458.4,9558.1,9583.1,9433.2,1119.13792523
25/02/2018 19:00:00,9434.3,9458.4,9511.7,9380.1,1092.09974886
25/02/2018 18:00:00,9339.7,9428.8,9446.2,9280.4,1541.03078324
25/02/2018 17:00:00,9389,9339.7,9420,9319,1081.46040785
25/02/2018 16:00:00,9399,9387.9,9458,9360.5,1481.49227921
25/02/2018 15:00:00,9380,9400,9468.9,9287.1,2494.09024044
25/02/2018 14:00:00,9471.9,9380,9512,9380,1513.78546921
25/02/2018 13:00:00,9517.7,9471.9,9572,9403.4,1527.80280348
25/02/2018 12:00:00,9651,9516.1,9691.3,9480,1630.09026065
25/02/2018 11:00:00,9651.6,9651,9740.2,9596,1286.09847662
25/02/2018 10:00:00,9604.9,9651.1,9699.7,9552.7,989.68686139
25/02/2018 09:00:00,9605.3,9605,9654,9520,1254.83633639
25/02/2018 08:00:00,9738.23766701,9600.5,9779.4,9592,1466.73384021
25/02/2018 07:00:00,9775,9737.6,9840,9682,884.84545194
25/02/2018 06:00:00,9718.1,9771,9840,9715.9,2021.70699256
25/02/2018 05:00:00,9690,9715.8,9735.4,9626,722.11031737
25/02/2018 04:00:00,9556.3,9698.7,9748.7,9518.8,989.48126831
25/02/2018 03:00:00,9596,9556,9600.9,9468,1008.46975967
25/02/2018 02:00:00,9735.5,9596,9744.9,9570,859.88053061
25/02/2018 01:00:00,9620.7,9742.1,9750,9620,958.68507083
25/02/2018 00:00:00,9665.6,9620.9,9669,9545,1080.4571598
24/02/2018 23:00:00,9586.1,9666.3,9699.9,9584,1441.41743626
24/02/2018 22:00:00,9478.8,9586,9684.9,9425,1945.26016511
24/02/2018 21:00:00,9386.2,9479.4,9490,9377.9,1607.37748366
24/02/2018 20:00:00,9577.9,9383.9,9579,9350.3,4064.73881704
24/02/2018 19:00:00,9545.6,9577.9,9643,9510,1435.02813498
24/02/2018 18:00:00,9613.2,9545.7,9706.9,9545,1551.90331173
24/02/2018 17:00:00,9761.9,9613.6,9764.7,9602,1298.05769363
24/02/2018 16:00:00,9730.1,9762,9790,9603,2143.90240345
24/02/2018 15:00:00,9735.9,9731,9803,9700,1656.94788986
24/02/2018 14:00:00,9610,9734,9770,9561,2537.73855494
24/02/2018 13:00:00,9746.1,9621,9747,9514.4,3466.44110301
24/02/2018 12:00:00,9705.9,9747.9,9798,9602,1812.03732536
24/02/2018 11:00:00,9719.9,9713.7,9778,9605,2479.17414883
24/02/2018 10:00:00,10021,9719.9,10021,9632,5771.03714763
24/02/2018 09:00:00,9990.2,10012,10139,9990.1,1318.19756783
24/02/2018 08:00:00,10101,9994.8,10101,9898,1663.60114105
24/02/2018 07:00:00,10158,10100,10159,9921.1,4127.85228333
24/02/2018 06:00:00,10437.90216258,10157,10479,9505,5506.30488438
24/02/2018 05:00:00,10378,10437,10450,10345,1121.31783712
24/02/2018 04:00:00,10398,10379,10500,10378,1477.8693579
24/02/2018 03:00:00,10413,10398,10415.88775852,10306,863.46827485
24/02/2018 02:00:00,10330,10417,10440,10329,2869.87772981
24/02/2018 01:00:00,10312,10330,10330,10240,1347.41384464
24/02/2018 00:00:00,10143,10320,10345,10108,2190.22952427
23/02/2018 23:00:00,10144,10144,10219,10100,2364.6779991
23/02/2018 22:00:00,9890,10144,10149,9889.8,1534.02062772
23/02/2018 21:00:00,9950.3,9890,9999,9890,864.55217138
23/02/2018 20:00:00,10020,9950.4,10022,9864.6667585,2537.191109
23/02/2018 19:00:00,10192,10027,10218,9975,2056.03317111
23/02/2018 18:00:00,10101,10192,10215,10090,1360.13627078
23/02/2018 17:00:00,10077,10101,10140,10037,1435.06209767
23/02/2018 16:00:00,10300,10076,10302,10041,3857.08661853
23/02/2018 15:00:00,10306,10301.88391502,10356,10243,1234.7259097
23/02/2018 14:00:00,10213,10306,10395,10213,4569.3092055
23/02/2018 13:00:00,10195.68178546,10214,10244,10150,1514.84604397
23/02/2018 12:00:00,10190,10195.68178546,10249.82250457,10100,1956.84471286
23/02/2018 11:00:00,9998.1,10191,10237,9954,2613.38620637
23/02/2018 10:00:00,10105,9998.7,10200,9920,2647.62540736
23/02/2018 09:00:00,9936.4,10106,10211.0528242,9920,3582.01832877
23/02/2018 08:00:00,9884.1,9935.1,9970,9841,1439.33178742
